log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2025-11-15 12:52:17.100330,1763236337.1003242,2025-11-15 19:52:17.99,1763236337.099909,300.0,speedway-mountain,SSM,230,NA,NA
2025-11-15 12:52:17.100418,1763236337.1004164,2025-11-15 19:52:17.100,1763236337.100139,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 12:52:17.100452,1763236337.1004512,2025-11-15 19:52:17.100,1763236337.100205,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 12:52:18.123533,1763236338.123526,2025-11-15 19:52:18.123,1763236338.123033,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 12:57:17.771442,1763236637.7714372,2025-11-15 19:57:17.771,1763236637.771234,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 12:57:17.771521,1763236637.7715197,2025-11-15 19:57:17.771,1763236637.771327,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 12:57:17.771554,1763236637.7715533,2025-11-15 19:57:17.771,1763236637.77142,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 12:57:18.794672,1763236638.7946644,2025-11-15 19:57:18.794,1763236638.794236,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 13:02:17.483125,1763236937.4831228,2025-11-15 20:02:17.483,1763236937.483017,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 13:02:17.483165,1763236937.4831648,2025-11-15 20:02:17.483,1763236937.483071,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:02:17.483185,1763236937.4831846,2025-11-15 20:02:17.483,1763236937.483107,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 13:02:19.535914,1763236939.5359068,2025-11-15 20:02:19.535,1763236939.535585,300.0,speedway-mountain,SRM,0,0,0
