log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2025-11-15 13:09:58.666344,1763237398.666339,2025-11-15 20:09:58.665,1763237398.665916,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 13:09:58.667391,1763237398.6673882,2025-11-15 20:09:58.667,1763237398.667197,300.0,speedway-mountain,SSM,291,NA,NA
2025-11-15 13:09:58.667419,1763237398.6674185,2025-11-15 20:09:58.667,1763237398.66733,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:09:58.667436,1763237398.667436,2025-11-15 20:09:58.667,1763237398.667365,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 13:14:58.794806,1763237698.7947989,2025-11-15 20:14:58.794,1763237698.794291,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 13:14:58.795386,1763237698.7953825,2025-11-15 20:14:58.795,1763237698.795276,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 13:14:58.795428,1763237698.7954276,2025-11-15 20:14:58.795,1763237698.795334,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:14:58.795445,1763237698.795445,2025-11-15 20:14:58.795,1763237698.795374,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 13:19:58.444624,1763237998.4446177,2025-11-15 20:19:58.444,1763237998.444358,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 13:19:58.444710,1763237998.4447086,2025-11-15 20:19:58.444,1763237998.444471,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:19:58.444750,1763237998.4447484,2025-11-15 20:19:58.444,1763237998.444559,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 13:19:59.467254,1763237999.4672441,2025-11-15 20:19:59.466,1763237999.466983,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 13:24:58.091044,1763238298.09104,2025-11-15 20:24:58.90,1763238298.090839,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 13:24:58.091089,1763238298.0910885,2025-11-15 20:24:58.90,1763238298.09092,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:24:58.091107,1763238298.091107,2025-11-15 20:24:58.90,1763238298.090979,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 13:25:00.138706,1763238300.1386995,2025-11-15 20:25:00.138,1763238300.138363,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 13:29:58.923994,1763238598.9239874,2025-11-15 20:29:58.923,1763238598.923763,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 13:29:58.924079,1763238598.9240775,2025-11-15 20:29:58.923,1763238598.923891,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:29:58.924120,1763238598.924119,2025-11-15 20:29:58.923,1763238598.923981,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 13:30:01.802307,1763238601.8023012,2025-11-15 20:30:01.801,1763238601.801986,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 13:34:58.762872,1763238898.76287,2025-11-15 20:34:58.762,1763238898.762673,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 13:34:58.762912,1763238898.762912,2025-11-15 20:34:58.762,1763238898.762736,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:34:58.762932,1763238898.7629313,2025-11-15 20:34:58.762,1763238898.76277,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 13:35:02.699247,1763238902.6992402,2025-11-15 20:35:02.698,1763238902.698985,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 13:39:58.541174,1763239198.5411665,2025-11-15 20:39:58.540,1763239198.540948,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 13:39:58.541271,1763239198.5412686,2025-11-15 20:39:58.541,1763239198.54109,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:39:58.541316,1763239198.5413146,2025-11-15 20:39:58.541,1763239198.541195,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 13:40:03.468983,1763239203.4689713,2025-11-15 20:40:03.468,1763239203.468415,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 13:44:58.252256,1763239498.2522538,2025-11-15 20:44:58.252,1763239498.25216,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 13:44:58.252292,1763239498.2522917,2025-11-15 20:44:58.252,1763239498.25221,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:44:58.252309,1763239498.2523081,2025-11-15 20:44:58.252,1763239498.252244,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 13:45:04.235996,1763239504.2359881,2025-11-15 20:45:04.235,1763239504.23576,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 13:49:58.027049,1763239798.027043,2025-11-15 20:49:58.26,1763239798.026852,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 13:49:58.027121,1763239798.02712,2025-11-15 20:49:58.26,1763239798.026942,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:49:58.027151,1763239798.0271497,2025-11-15 20:49:58.27,1763239798.027006,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 13:50:05.003206,1763239805.0031998,2025-11-15 20:50:05.2,1763239805.002803,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 13:54:58.827313,1763240098.827311,2025-11-15 20:54:58.827,1763240098.827245,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 13:54:58.827343,1763240098.8273427,2025-11-15 20:54:58.827,1763240098.827293,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:54:58.827359,1763240098.8273582,2025-11-15 20:54:58.827,1763240098.827328,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 13:55:05.836163,1763240105.8361561,2025-11-15 20:55:05.835,1763240105.835837,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 13:59:58.634805,1763240398.6348019,2025-11-15 20:59:58.634,1763240398.634662,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 13:59:58.634847,1763240398.634846,2025-11-15 20:59:58.634,1763240398.634722,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 13:59:58.634866,1763240398.634865,2025-11-15 20:59:58.634,1763240398.634762,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 14:00:06.635099,1763240406.6350927,2025-11-15 21:00:06.634,1763240406.634711,300.0,speedway-mountain,SRM,0,0,0
